prefecture_id,ordinance_designated_city_id,name,slug,jis_code,bounding_box
39,,安芸郡奈半利町,akigunnaharichou,39302,"134.01205000,33.37870300 134.10824600,33.44887100"
39,,安芸郡田野町,akiguntanochou,39303,"133.99160300,33.42130600 134.03033700,33.45941900"
39,,安芸郡安田町,akigunyasudachou,39304,"133.95445400,33.42772800 134.06920000,33.54721700"
39,,安芸郡北川村,akigunkitagawamura,39305,"134.01774500,33.43496200 134.21599600,33.61271800"
39,,安芸郡馬路村,akigunumajimura,39306,"134.00691900,33.52685400 134.18352900,33.69612900"
39,,安芸郡芸西村,akigungeiseimura,39307,"133.76998500,33.51402400 133.87206000,33.59348300"
39,,長岡郡本山町,nagaokagummotoyamachou,39341,"133.50642800,33.70174500 133.64330400,33.88241900"
39,,長岡郡大豊町,nagaokagunootoyochou,39344,"133.58002400,33.68375400 133.87337700,33.88334900"
39,,土佐郡土佐町,tosaguntosachou,39363,"133.35885700,33.66189800 133.58408800,33.83588000"
39,,土佐郡大川村,tosagunookawamura,39364,"133.32619200,33.75480800 133.49356400,33.83986000"
39,,吾川郡いの町,agawaguninochou,39386,"133.15778500,33.50994900 133.47470800,33.83201500"
39,,吾川郡仁淀川町,agawagunniyodogawachou,39387,"133.01321200,33.44284800 133.23479300,33.73172100"
39,,高岡郡中土佐町,takaokagunnakatosachou,39401,"133.04988400,33.23465600 133.26442300,33.42172300"
39,,高岡郡佐川町,takaokagunsakawachou,39402,"133.19432500,33.44024200 133.34318300,33.55867700"
39,,高岡郡越知町,takaokagunochichou,39403,"133.14639200,33.46397400 133.31045800,33.61346300"
39,,高岡郡檮原町,takaokagunyusuharachou,39405,"132.80656900,33.28165600 133.03571200,33.47935700"
39,,高岡郡日高村,takaokagunhidakamura,39410,"133.29625300,33.49784500 133.40397300,33.58074900"
39,,高岡郡津野町,takaokaguntsunochou,39411,"132.95588900,33.34267800 133.25823100,33.48148800"
39,,高岡郡四万十町,takaokagunshimantochou,39412,"132.78727600,33.11784900 133.25676400,33.35627600"
39,,幡多郡大月町,hatagunootsukichou,39424,"132.59794000,32.74458300 132.78807600,32.88813200"
39,,幡多郡三原村,hatagummiharamura,39427,"132.76597400,32.85912000 132.91819300,32.94590900"
39,,幡多郡黒潮町,hatagunkuroshiochou,39428,"132.95288000,32.97683300 133.18326300,33.18984300"
40,20,北九州市門司区,kitakyuushuushimojiku,40101,"130.91498000,33.84101600 131.02405500,33.96988300"
40,20,北九州市若松区,kitakyuushuushiwakamatsuku,40103,"130.67347100,33.87821500 130.84621800,34.02228700"
40,20,北九州市戸畑区,kitakyuushuushitobataku,40105,"130.80575800,33.86945500 130.87064400,33.92949200"
40,20,北九州市小倉北区,kitakyuushuushikokurakitaku,40106,"130.80905700,33.83918800 130.92915400,34.00387000"
40,20,北九州市小倉南区,kitakyuushuushikokuraminamiku,40107,"130.79928500,33.72094200 131.03886600,33.86952200"
40,20,北九州市八幡東区,kitakyuushuushiyahatahigashiku,40108,"130.77853000,33.79368500 130.84937000,33.89147000"
40,20,北九州市八幡西区,kitakyuushuushiyahatanishiku,40109,"130.68196400,33.76858400 130.80132600,33.89875200"
40,21,福岡市東区,fukuokashihigashiku,40131,"130.28577500,33.60578300 130.49528800,33.71240900"
40,21,福岡市博多区,fukuokashihakataku,40132,"130.39322400,33.53579900 130.48568300,33.61297900"
40,21,福岡市中央区,fukuokashichuuouku,40133,"130.35685400,33.55789700 130.41561000,33.60977500"
40,21,福岡市南区,fukuokashiminamiku,40134,"130.36450300,33.50518700 130.45211100,33.57670700"
40,21,福岡市西区,fukuokashinishiku,40135,"130.03281300,33.50509200 130.34318900,33.87411900"
40,21,福岡市城南区,fukuokashijounanku,40136,"130.34781900,33.51589200 130.39126200,33.58158500"
40,21,福岡市早良区,fukuokashisawaraku,40137,"130.27189800,33.42512000 130.40447700,33.59711200"
40,,大牟田市,oomutashi,40202,"130.35371900,33.00001100 130.54217900,33.09855800"
40,,久留米市,kurumeshi,40203,"130.38520700,33.22388600 130.73187800,33.36864600"
40,,直方市,noogatashi,40204,"130.67996900,33.69988800 130.80542800,33.79581300"
40,,飯塚市,iidukashi,40205,"130.55818200,33.50368700 130.77609700,33.70707700"
40,,田川市,taga-washi,40206,"130.74781600,33.56707200 130.84590300,33.69681700"
40,,柳川市,yanagawashi,40207,"130.35531500,33.08575700 130.47616700,33.19674100"
40,,八女市,yameshi,40210,"130.51700600,33.10406400 130.88756900,33.30645600"
40,,筑後市,chikugoshi,40211,"130.45136200,33.17093300 130.53565000,33.25527100"
40,,大川市,ookawashi,40212,"130.33941600,33.17075600 130.42355600,33.24483200"
40,,行橋市,yukuhashishi,40213,"130.89443000,33.67183800 131.04621200,33.75296700"
40,,豊前市,buzenshi,40214,"130.98988300,33.50782100 131.16638500,33.63495100"
40,,中間市,nakamashi,40215,"130.66845100,33.80138100 130.74392600,33.84209600"
40,,小郡市,ogoorishi,40216,"130.53520700,33.34132500 130.60968000,33.45012500"
40,,筑紫野市,chikushinoshi,40217,"130.45371600,33.42810100 130.62186900,33.55517800"
40,,春日市,kasugashi,40218,"130.43401100,33.49867000 130.47948900,33.54904200"
40,,大野城市,oonojoushi,40219,"130.45024100,33.46383400 130.51475000,33.56355900"
40,,宗像市,munakatashi,40220,"130.09806800,33.75010900 130.63978300,34.25028400"
